Contacts N,Contacts N 1,Contacts N 2,Contacts N 3,Contacts N 4,Contacts N 5,Contacts N 6,Contacts N 7,Date Created,New Market,New Type
62,7,6,8,5,4,null,1,1/3/2022,market_3,type_5
70,4,10,3,3,15,5,2,2/9/2022,market_3,type_5
28,2,null,null,null,1,2,1,3/8/2022,market_3,type_2
5,0,0,0,0,0,0,1,3/22/2022,market_3,type_1
1,null,null,null,null,null,null,null,3/23/2022,market_3,type_4
4,6,3,5,13,1,3,2,2/24/2022,market_3,type_1
8,2,1,4,4,7,3,4,2/5/2022,market_3,type_1
null,1,null,null,null,null,null,null,1/12/2022,market_3,type_4
60,5,4,2,null,8,null,null,3/6/2022,market_3,type_5
105,16,3,7,11,3,10,5,3/10/2022,market_3,type_5
11,5,1,0,0,0,0,2,3/31/2022,market_3,type_1
3,2,0,2,0,2,0,0,3/11/2022,market_3,type_1
11,null,1,null,1,null,1,2,1/9/2022,market_3,type_2
4,7,2,0,6,3,5,13,2/21/2022,market_3,type_1
7,null,2,null,null,null,null,null,2/26/2022,market_3,type_3
2,1,5,5,7,3,4,10,2/6/2022,market_3,type_1
2,null,null,null,null,null,null,null,1/25/2022,market_3,type_4
null,1,null,null,null,null,null,null,1/24/2022,market_3,type_4
2,null,null,null,null,null,null,null,1/2/2022,market_3,type_3
131,10,3,1,3,null,2,1,2/21/2022,market_3,type_5
16,7,5,4,6,8,8,4,1/26/2022,market_3,type_1
4,0,0,1,1,0,1,0,1/10/2022,market_3,type_1
51,11,8,20,9,3,4,3,3/1/2022,market_3,type_5
2,null,null,null,null,null,null,null,3/30/2022,market_3,type_4
84,6,1,5,5,11,2,4,3/18/2022,market_3,type_5
22,2,4,2,4,1,0,0,2/28/2022,market_3,type_1
12,3,null,1,2,2,1,2,3/17/2022,market_3,type_3
158,17,15,15,6,2,9,4,2/15/2022,market_3,type_5
7,2,1,2,null,null,null,null,1/11/2022,market_3,type_3
11,12,5,5,4,5,3,6,2/12/2022,market_3,type_1
18,4,2,6,1,1,6,4,3/25/2022,market_3,type_1
2,null,1,1,1,null,null,null,1/1/2022,market_3,type_3
null,null,null,null,null,null,null,null,3/7/2022,market_3,type_4
12,6,8,8,4,4,4,4,1/29/2022,market_3,type_1
16,1,1,2,null,1,null,3,3/2/2022,market_3,type_3
null,null,null,null,null,null,null,null,1/27/2022,market_3,type_4
9,3,0,1,0,0,0,0,1/13/2022,market_3,type_1
5,3,null,1,2,null,null,null,1/17/2022,market_3,type_3
38,5,1,4,null,1,null,null,3/29/2022,market_3,type_2
null,null,null,null,null,null,null,null,3/27/2022,market_3,type_4
1,null,null,null,null,null,null,null,2/1/2022,market_3,type_4
54,7,9,2,3,3,1,3,1/12/2022,market_3,type_5
105,26,16,1,6,7,5,12,3/9/2022,market_3,type_5
15,null,1,1,null,null,null,null,3/6/2022,market_3,type_2
null,null,null,1,null,null,null,null,1/7/2022,market_3,type_4
22,2,1,1,1,1,1,1,3/12/2022,market_3,type_2
64,8,3,null,1,5,1,1,1/20/2022,market_3,type_5
14,1,null,3,null,null,2,null,3/18/2022,market_3,type_3
37,2,1,null,null,1,1,1,1/20/2022,market_3,type_2
null,null,null,null,null,null,null,null,3/17/2022,market_3,type_4
2,null,null,null,null,null,null,null,3/4/2022,market_3,type_4
null,null,null,null,null,null,null,null,3/15/2022,market_3,type_4
18,4,4,2,5,2,0,6,3/24/2022,market_3,type_1
null,null,1,null,null,null,null,null,3/22/2022,market_3,type_4
50,1,1,2,null,null,null,1,1/12/2022,market_3,type_2
36,3,7,6,3,3,3,1,1/8/2022,market_3,type_5
35,null,null,1,1,1,null,null,2/25/2022,market_3,type_2
17,5,4,4,5,3,6,2,2/13/2022,market_3,type_1
null,null,null,null,null,null,null,null,2/21/2022,market_3,type_4
7,3,6,0,0,0,1,0,3/2/2022,market_3,type_1
11,2,3,7,2,0,6,3,2/19/2022,market_3,type_1
1,null,null,null,null,null,null,null,2/25/2022,market_3,type_4
19,4,null,3,3,null,null,5,2/7/2022,market_3,type_3
5,3,4,4,2,6,2,0,3/23/2022,market_3,type_1
36,8,7,3,5,3,3,1,1/9/2022,market_3,type_5
10,2,2,null,null,null,1,null,1/3/2022,market_3,type_3
68,11,8,3,8,4,4,2,1/27/2022,market_3,type_5
197,11,3,1,2,4,2,7,1/14/2022,market_3,type_5
60,4,11,6,2,1,1,2,1/4/2022,market_3,type_5
14,2,2,null,1,1,3,3,3/1/2022,market_3,type_3
4,2,1,0,0,1,0,0,3/9/2022,market_3,type_1
32,2,1,2,1,null,1,1,2/23/2022,market_3,type_2
5,3,3,6,0,0,0,0,3/1/2022,market_3,type_1
34,2,null,2,null,null,null,1,1/14/2022,market_3,type_2
4,0,1,0,1,1,0,0,1/9/2022,market_3,type_1
17,3,0,0,1,0,1,0,3/4/2022,market_3,type_1
13,0,0,1,0,1,1,1,1/7/2022,market_3,type_1
32,1,null,7,2,null,null,null,1/2/2022,market_3,type_5
48,3,1,1,null,1,1,1,3/14/2022,market_3,type_2
380,25,7,2,4,2,1,2,3/24/2022,market_3,type_5
18,2,3,2,2,3,2,1,2/5/2022,market_3,type_2
18,2,2,2,null,null,null,3,2/12/2022,market_3,type_2
1,null,null,null,null,null,null,null,3/31/2022,market_3,type_4
23,2,null,null,4,null,null,null,1/14/2022,market_3,type_3
454,29,4,15,14,10,7,3,2/18/2022,market_3,type_5
9,13,1,3,2,4,0,0,2/27/2022,market_3,type_1
68,6,15,2,null,2,2,4,2/8/2022,market_3,type_5
29,1,null,1,1,null,1,null,3/21/2022,market_3,type_2
11,1,1,null,2,3,null,1,2/24/2022,market_3,type_3
6,0,0,0,0,0,0,1,1/21/2022,market_3,type_1
5,6,1,0,7,4,0,0,3/27/2022,market_3,type_1
null,null,null,null,null,null,null,null,3/9/2022,market_3,type_4
5,0,0,0,1,1,1,0,1/8/2022,market_3,type_1
72,10,9,5,null,4,1,1,1/19/2022,market_3,type_5
73,7,6,8,7,11,12,12,3/11/2022,market_3,type_5
1,null,null,null,null,null,null,null,2/7/2022,market_3,type_4
32,1,null,1,null,null,null,null,1/5/2022,market_3,type_2
7,1,3,3,4,1,null,null,2/19/2022,market_3,type_3
8,5,3,6,2,3,7,3,2/16/2022,market_3,type_1
10,1,2,null,null,null,1,null,2/1/2022,market_3,type_3
3,null,null,null,null,null,null,1,2/18/2022,market_3,type_4
1,null,null,null,null,null,1,null,3/25/2022,market_3,type_4
1,null,null,null,null,null,null,null,3/13/2022,market_3,type_4
10,0,0,0,0,0,0,0,3/15/2022,market_3,type_1
26,5,2,null,null,null,1,1,3/17/2022,market_3,type_2
4,null,null,null,null,null,1,null,2/12/2022,market_3,type_4
6,null,null,null,null,null,null,null,2/27/2022,market_3,type_3
136,8,5,5,9,18,10,5,2/11/2022,market_3,type_5
null,null,null,null,null,null,null,null,3/10/2022,market_3,type_4
18,3,8,3,2,2,2,2,3/8/2022,market_3,type_3
null,null,null,null,null,null,null,null,1/29/2022,market_3,type_4
28,2,1,3,2,3,1,null,3/25/2022,market_3,type_2
4,null,2,null,null,null,null,null,1/19/2022,market_3,type_3
1,null,null,null,null,null,null,null,1/17/2022,market_3,type_4
9,5,4,5,4,6,2,3,2/14/2022,market_3,type_1
19,null,null,null,null,null,null,2,2/19/2022,market_3,type_2
8,4,5,3,6,2,3,7,2/15/2022,market_3,type_1
131,43,7,5,6,8,13,3,2/12/2022,market_3,type_5
1,null,null,null,null,null,null,null,1/5/2022,market_3,type_4
4,3,null,null,null,null,1,1,1/30/2022,market_3,type_3
5,6,2,4,7,2,0,6,2/18/2022,market_3,type_1
11,5,4,7,3,5,10,4,2/7/2022,market_3,type_1
7,4,5,2,1,4,4,7,2/3/2022,market_3,type_1
67,5,9,2,4,null,5,4,1/22/2022,market_3,type_5
null,null,null,null,null,null,null,1,2/2/2022,market_3,type_4
98,9,16,17,3,1,17,20,2/16/2022,market_3,type_5
6,1,0,0,0,0,0,0,3/20/2022,market_3,type_1
15,1,null,1,null,null,null,null,3/20/2022,market_3,type_2
38,2,4,6,2,2,1,2,2/10/2022,market_3,type_2
22,2,3,2,1,3,1,3,2/11/2022,market_3,type_2
23,null,1,2,2,1,1,null,3/11/2022,market_3,type_2
182,22,6,3,5,null,2,9,2/10/2022,market_3,type_5
2,null,null,null,null,null,null,null,3/14/2022,market_3,type_4
12,1,3,6,4,0,0,0,3/28/2022,market_3,type_1
46,8,3,null,1,3,null,1,3/20/2022,market_3,type_5
71,29,5,2,4,3,6,5,3/17/2022,market_3,type_5
64,9,9,8,4,4,1,1,1/11/2022,market_3,type_5
10,4,null,null,3,1,null,null,1/20/2022,market_3,type_3
28,1,null,1,1,3,null,2,3/23/2022,market_3,type_2
54,4,1,4,3,1,2,5,2/25/2022,market_3,type_5
153,27,15,9,5,null,2,2,3/14/2022,market_3,type_5
1,null,null,null,null,null,null,null,3/3/2022,market_3,type_4
200,14,6,11,1,2,1,3,2/7/2022,market_3,type_5
5,null,null,null,null,null,null,null,2/10/2022,market_3,type_4
8,3,null,null,1,1,1,1,2/25/2022,market_3,type_3
171,21,20,18,15,3,4,5,3/7/2022,market_3,type_5
13,3,4,6,8,9,4,4,1/27/2022,market_3,type_1
1,null,null,null,null,1,1,null,1/23/2022,market_3,type_3
49,6,4,2,2,2,2,4,3/30/2022,market_3,type_5
24,4,null,null,null,1,null,1,1/13/2022,market_3,type_3
42,21,6,6,4,3,1,null,3/13/2022,market_3,type_5
7,3,0,0,1,0,0,0,3/7/2022,market_3,type_1
1,null,null,null,null,null,null,null,1/26/2022,market_3,type_4
45,1,2,3,null,3,2,2,3/19/2022,market_3,type_5
null,null,null,null,null,null,null,null,1/19/2022,market_3,type_4
14,2,1,1,null,2,2,1,3/30/2022,market_3,type_3
33,null,null,5,null,null,1,3,2/4/2022,market_3,type_2
20,2,null,1,null,null,null,null,1/29/2022,market_3,type_2
2,null,null,null,null,null,null,null,2/9/2022,market_3,type_4
63,7,5,1,2,null,null,1,3/29/2022,market_3,type_5
21,1,1,null,1,null,null,1,2/27/2022,market_3,type_2
1,null,null,null,null,null,null,null,2/4/2022,market_3,type_4
10,3,2,null,1,null,1,null,2/2/2022,market_3,type_3
null,null,null,null,null,null,1,null,3/8/2022,market_3,type_4
3,0,0,0,1,0,0,0,3/6/2022,market_3,type_1
3,null,1,null,1,null,null,null,2/28/2022,market_3,type_3
21,1,null,null,null,null,1,1,1/10/2022,market_3,type_2
44,4,1,3,3,1,1,null,1/15/2022,market_3,type_5
2,null,null,null,1,null,null,null,1/6/2022,market_3,type_4
66,13,4,10,6,5,3,1,1/10/2022,market_3,type_5
240,13,108,5,2,7,12,8,1/26/2022,market_3,type_5
null,1,null,null,null,null,null,null,2/5/2022,market_3,type_4
7,null,1,null,2,null,2,1,1/8/2022,market_3,type_3
1,null,null,null,null,null,null,null,3/1/2022,market_3,type_4
null,null,null,null,null,null,null,null,3/2/2022,market_3,type_4
344,11,10,1,4,12,5,5,1/6/2022,market_3,type_5
10,4,1,0,1,2,1,0,3/3/2022,market_3,type_1
4,0,1,0,0,0,0,0,3/5/2022,market_3,type_1
3,null,1,null,null,null,null,null,1/29/2022,market_3,type_3
10,3,6,2,3,7,2,0,2/17/2022,market_3,type_1
3,1,0,1,0,0,0,0,1/19/2022,market_3,type_1
29,1,1,1,1,1,1,1,1/31/2022,market_3,type_2
4,null,null,null,null,null,null,null,3/19/2022,market_3,type_3
38,2,2,1,2,2,1,1,1/28/2022,market_3,type_2
11,null,3,1,1,3,null,null,2/9/2022,market_3,type_3
25,1,2,null,null,1,1,1,1/5/2022,market_3,type_3
34,3,2,3,1,3,1,2,1/16/2022,market_3,type_5
31,2,null,1,3,null,2,null,1/1/2022,market_3,type_5
null,null,null,null,null,null,null,null,2/3/2022,market_3,type_4
null,null,null,null,null,null,null,null,3/21/2022,market_3,type_4
4,6,4,0,0,0,0,0,3/30/2022,market_3,type_1
3,null,null,null,null,null,null,null,2/23/2022,market_3,type_4
94,19,25,15,2,3,8,2,3/8/2022,market_3,type_5
39,6,1,3,null,2,7,2,2/27/2022,market_3,type_5
75,6,3,11,7,6,6,4,1/7/2022,market_3,type_5
4,0,0,0,0,1,0,0,3/21/2022,market_3,type_1
129,15,5,8,4,2,4,6,2/1/2022,market_3,type_5
9,0,0,0,0,0,0,0,1/17/2022,market_3,type_1
186,33,20,6,4,4,7,8,3/16/2022,market_3,type_5
17,null,null,1,2,1,1,null,1/21/2022,market_3,type_2
null,null,null,null,null,null,null,null,1/15/2022,market_3,type_4
87,28,20,9,3,24,3,null,3/2/2022,market_3,type_5
40,4,1,2,2,null,null,2,3/28/2022,market_3,type_2
11,1,2,0,1,0,0,0,1/12/2022,market_3,type_1
6,6,4,9,6,3,4,6,1/23/2022,market_3,type_1
29,3,3,3,1,null,2,null,2/13/2022,market_3,type_2
38,2,1,1,1,null,null,null,2/21/2022,market_3,type_2
13,2,2,null,null,null,null,2,3/29/2022,market_3,type_3
11,3,6,2,0,7,4,0,3/26/2022,market_3,type_1
127,16,7,6,5,null,6,null,3/5/2022,market_3,type_5
13,8,4,4,2,4,8,4,3/9/2022,market_3,type_3
14,null,5,2,1,1,null,2,2/21/2022,market_3,type_3
25,null,2,1,null,null,null,null,2/26/2022,market_3,type_2
33,4,2,1,null,1,null,2,3/7/2022,market_3,type_2
30,3,2,1,2,null,1,4,2/3/2022,market_3,type_2
7,null,null,null,1,null,null,null,2/14/2022,market_3,type_4
null,1,null,null,null,null,null,null,1/9/2022,market_3,type_4
null,null,null,null,null,null,null,null,1/16/2022,market_3,type_4
12,1,null,null,null,null,null,null,1/26/2022,market_3,type_3
28,1,null,null,null,null,1,2,1/4/2022,market_3,type_2
6,3,null,6,2,null,1,null,2/20/2022,market_3,type_3
14,1,1,null,1,null,2,3,1/6/2022,market_3,type_3
24,1,1,2,null,null,2,2,3/4/2022,market_3,type_2
5,2,1,null,2,1,null,null,2/6/2022,market_3,type_3
21,3,null,1,1,null,1,null,2/14/2022,market_3,type_3
null,null,null,null,null,null,null,null,2/28/2022,market_3,type_4
5,0,0,0,0,0,0,0,1/16/2022,market_3,type_1
29,3,2,1,1,null,null,null,3/31/2022,market_3,type_2
8,5,5,4,9,6,4,4,1/22/2022,market_3,type_1
7,null,1,null,null,2,null,1,1/22/2022,market_3,type_3
259,4,2,3,2,3,7,11,2/23/2022,market_3,type_5
33,2,null,null,1,2,2,3,3/9/2022,market_3,type_2
27,2,null,3,null,2,1,null,3/18/2022,market_3,type_2
3,null,null,null,null,null,null,1,2/11/2022,market_3,type_4
27,1,null,1,1,null,1,null,2/20/2022,market_3,type_2
28,null,2,1,1,1,null,1,2/2/2022,market_3,type_2
17,null,1,1,1,2,1,1,1/28/2022,market_3,type_3
null,null,1,1,null,null,null,null,3/11/2022,market_3,type_4
8,4,2,2,4,4,7,3,2/4/2022,market_3,type_1
15,5,4,10,4,4,4,5,2/10/2022,market_3,type_1
null,null,1,null,null,null,null,null,2/16/2022,market_3,type_4
null,null,null,null,null,null,null,null,3/28/2022,market_3,type_4
6,9,6,3,4,6,9,8,1/25/2022,market_3,type_1
5,0,0,0,0,0,0,0,1/20/2022,market_3,type_1
null,null,1,null,null,null,null,null,1/8/2022,market_3,type_4
4,0,0,0,0,0,0,0,3/13/2022,market_3,type_1
14,5,0,6,3,5,12,1,2/22/2022,market_3,type_1
5,0,1,0,0,0,0,1,3/14/2022,market_3,type_1
12,1,null,null,null,1,null,null,2/3/2022,market_3,type_3
1,null,null,null,null,null,null,null,1/1/2022,market_3,type_4
23,2,1,null,null,1,1,null,2/24/2022,market_3,type_2
5,null,1,1,null,null,null,null,3/20/2022,market_3,type_3
null,null,null,null,null,null,null,null,1/2/2022,market_3,type_4
3,2,1,2,0,1,0,0,1/11/2022,market_3,type_1
40,4,1,3,null,2,null,null,1/17/2022,market_3,type_2
46,null,1,null,2,3,1,null,3/3/2022,market_3,type_2
null,null,null,null,null,null,null,null,1/22/2022,market_3,type_4
63,7,7,2,null,3,5,5,2/26/2022,market_3,type_5
4,1,0,0,0,0,0,1,3/17/2022,market_3,type_1
112,10,6,4,null,1,2,1,1/29/2022,market_3,type_5
2,1,null,2,null,1,null,null,1/9/2022,market_3,type_3
285,138,12,null,2,7,3,3,2/17/2022,market_3,type_5
14,1,null,null,null,null,null,2,2/23/2022,market_3,type_3
null,null,null,null,null,null,null,null,1/18/2022,market_3,type_4
5,3,null,null,1,1,3,2,3/6/2022,market_3,type_3
87,13,1,null,3,1,null,2,1/31/2022,market_3,type_5
null,null,null,null,null,null,null,null,3/26/2022,market_3,type_4
131,25,3,1,null,3,3,2,1/5/2022,market_3,type_5
5,3,8,3,0,6,3,5,2/20/2022,market_3,type_1
168,25,11,11,27,4,4,1,3/3/2022,market_3,type_5
58,5,5,1,7,2,null,3,1/17/2022,market_3,type_5
7,1,null,null,null,null,null,null,1/16/2022,market_3,type_3
32,null,null,1,null,null,3,1,1/24/2022,market_3,type_2
14,null,null,2,null,null,null,null,1/2/2022,market_3,type_2
8,1,null,null,3,1,3,1,2/10/2022,market_3,type_3
189,60,24,10,5,5,7,1,2/13/2022,market_3,type_5
null,null,null,null,null,null,null,null,2/27/2022,market_3,type_4
12,3,2,1,null,1,null,null,2/4/2022,market_3,type_3
9,2,null,3,1,null,2,null,1/7/2022,market_3,type_3
11,0,0,0,0,0,0,0,1/14/2022,market_3,type_1
10,1,null,1,1,1,1,4,3/3/2022,market_3,type_3
19,null,1,null,null,1,1,null,3/22/2022,market_3,type_2
8,4,9,6,4,4,7,8,1/24/2022,market_3,type_1
104,7,4,8,7,4,4,5,2/4/2022,market_3,type_5
1,1,null,null,null,1,null,null,2/13/2022,market_3,type_4
24,2,null,null,1,1,null,1,1/11/2022,market_3,type_2
7,5,14,1,3,2,5,0,2/26/2022,market_3,type_1
3,null,null,null,null,null,null,null,1/28/2022,market_3,type_4
14,5,5,5,4,2,1,4,2/1/2022,market_3,type_1
39,4,2,2,1,1,3,2,2/6/2022,market_3,type_5
55,9,12,10,2,5,2,2,3/26/2022,market_3,type_5
3,null,null,null,null,null,null,null,2/24/2022,market_3,type_4
16,3,1,4,1,1,1,null,3/25/2022,market_3,type_3
3,0,0,0,1,0,0,0,3/18/2022,market_3,type_1
37,3,1,1,null,1,null,null,2/28/2022,market_3,type_2
27,1,1,3,2,null,2,null,2/18/2022,market_3,type_2
null,null,null,null,null,null,null,null,2/20/2022,market_3,type_4
12,1,null,1,1,1,null,null,3/21/2022,market_3,type_3
null,1,0,0,0,0,0,0,3/19/2022,market_3,type_1
7,null,null,1,null,null,null,null,1/1/2022,market_3,type_2
525,13,5,9,8,2,15,1,3/25/2022,market_3,type_5
1,null,null,null,null,null,null,null,3/24/2022,market_3,type_4
41,1,1,null,1,1,1,null,2/22/2022,market_3,type_2
8,0,6,3,5,12,1,3,2/23/2022,market_3,type_1
11,4,4,5,1,null,null,null,3/12/2022,market_3,type_3
12,1,1,2,2,1,1,2,1/24/2022,market_3,type_3
2,1,null,null,null,null,null,1,2/22/2022,market_3,type_4
11,2,0,0,0,0,0,0,3/16/2022,market_3,type_1
68,5,4,2,2,2,7,1,1/18/2022,market_3,type_5
null,1,null,null,null,null,null,null,3/29/2022,market_3,type_4
6,0,1,1,1,0,0,1,3/8/2022,market_3,type_1
43,4,3,2,null,2,4,null,1/23/2022,market_3,type_5
14,2,1,1,null,5,5,5,3/4/2022,market_3,type_3
474,12,4,13,11,6,3,6,1/28/2022,market_3,type_5
24,3,4,3,1,1,null,null,3/28/2022,market_3,type_3
10,1,3,1,2,2,1,2,3/26/2022,market_3,type_3
22,1,1,null,1,null,null,1,3/31/2022,market_3,type_3
2,0,0,0,0,0,1,0,1/15/2022,market_3,type_1
14,8,3,2,2,7,3,2,3/10/2022,market_3,type_3
12,1,4,4,1,1,1,null,1/10/2022,market_3,type_3
null,null,null,null,null,null,null,null,3/6/2022,market_3,type_4
81,6,8,7,6,2,1,1,2/19/2022,market_3,type_5
