Contacts N 1,Contacts N 2,Contacts N 3,Contacts N 4,Contacts N 5,Contacts N 6,Contacts N 7,Date Created,New Market,New Type,Contacts N
null,null,null,1,null,null,null,2/18/2022,market_1,type_4,2
3,1,null,null,null,1,3,1/12/2022,market_1,type_3,19
4,0,2,1,0,2,0,3/2/2022,market_1,type_1,16
13,12,6,4,2,13,5,1/11/2022,market_1,type_2,261
8,6,7,3,3,3,2,2/19/2022,market_1,type_2,150
null,null,null,null,null,null,null,1/29/2022,market_1,type_4,
1,1,3,1,null,3,null,1/18/2022,market_1,type_3,15
9,6,12,5,11,6,7,2/26/2022,market_1,type_2,198
13,3,2,3,1,3,4,2/27/2022,market_1,type_2,141
22,14,12,8,14,4,1,2/25/2022,market_1,type_5,183
2,1,2,2,2,0,1,3/7/2022,market_1,type_1,16
3,0,1,1,1,1,0,2/18/2022,market_1,type_1,20
6,null,3,1,null,2,1,1/25/2022,market_1,type_3,18
7,10,8,3,3,5,4,3/6/2022,market_1,type_5,141
24,13,4,7,2,6,4,1/9/2022,market_1,type_5,165
16,8,7,9,7,11,8,2/10/2022,market_1,type_5,155
18,23,9,7,6,7,9,1/3/2022,market_1,type_2,395
18,17,2,3,6,7,6,1/12/2022,market_1,type_2,280
null,null,null,null,null,1,null,2/10/2022,market_1,type_4,1
4,1,0,3,0,1,3,2/12/2022,market_1,type_1,17
null,null,null,null,null,null,1,1/31/2022,market_1,type_4,3
3,7,8,5,1,3,3,1/9/2022,market_1,type_2,107
null,3,2,null,1,4,1,3/9/2022,market_1,type_3,15
1,1,null,3,1,2,null,1/8/2022,market_1,type_3,9
17,9,7,10,6,5,6,1/17/2022,market_1,type_2,224
null,null,null,null,null,null,null,1/8/2022,market_1,type_4,1
8,8,8,6,7,3,4,1/15/2022,market_1,type_2,146
6,8,8,6,9,7,2,2/16/2022,market_1,type_5,174
null,null,1,null,null,1,2,3/22/2022,market_1,type_3,14
null,2,1,3,1,2,1,2/4/2022,market_1,type_3,16
null,5,3,null,null,1,null,3/12/2022,market_1,type_3,11
1,null,null,null,null,null,null,3/26/2022,market_1,type_4,1
3,2,1,1,2,null,3,3/14/2022,market_1,type_3,28
21,15,8,19,6,8,11,3/31/2022,market_1,type_5,235
3,0,3,0,3,0,0,2/28/2022,market_1,type_1,35
3,1,1,6,3,0,2,1/5/2022,market_1,type_1,52
3,1,3,null,2,null,1,3/2/2022,market_1,type_3,22
10,12,9,10,5,5,20,3/14/2022,market_1,type_2,370
null,1,1,null,null,null,null,1/20/2022,market_1,type_4,1
12,8,8,6,7,7,4,3/6/2022,market_1,type_2,169
15,6,3,4,6,2,1,3/20/2022,market_1,type_2,142
1,1,null,null,3,1,null,2/2/2022,market_1,type_3,12
1,2,0,1,0,1,0,2/22/2022,market_1,type_1,45
6,0,1,2,0,1,0,1/1/2022,market_1,type_1,30
null,null,null,null,null,null,null,3/30/2022,market_1,type_4,3
null,null,null,null,null,null,null,3/31/2022,market_1,type_4,3
2,2,1,0,2,1,1,2/19/2022,market_1,type_1,24
1,2,1,null,1,null,null,1/3/2022,market_1,type_3,18
3,3,1,1,null,3,4,3/16/2022,market_1,type_3,28
null,1,1,null,null,1,null,3/2/2022,market_1,type_4,1
2,1,1,3,null,2,null,3/31/2022,market_1,type_3,15
21,7,6,2,14,6,3,3/9/2022,market_1,type_5,202
8,8,6,4,6,4,7,2/16/2022,market_1,type_2,236
1,null,null,null,null,null,null,2/20/2022,market_1,type_4,2
null,1,1,1,null,null,null,1/19/2022,market_1,type_4,2
46,13,8,12,15,7,7,3/25/2022,market_1,type_5,280
20,11,8,7,7,10,8,2/22/2022,market_1,type_5,254
9,16,3,5,8,2,4,3/5/2022,market_1,type_5,182
10,7,4,13,5,12,4,3/10/2022,market_1,type_2,361
null,1,null,null,null,null,null,2/7/2022,market_1,type_4,2
9,9,5,10,7,10,9,3/17/2022,market_1,type_5,170
null,null,null,null,null,null,1,1/7/2022,market_1,type_4,7
null,1,1,4,1,1,1,3/3/2022,market_1,type_3,15
4,2,2,3,0,4,0,1/6/2022,market_1,type_1,43
22,15,5,13,12,7,7,3/3/2022,market_1,type_2,368
1,null,null,null,null,null,null,1/24/2022,market_1,type_4,4
4,1,6,2,2,2,2,3/25/2022,market_1,type_3,17
null,null,1,null,null,null,null,1/10/2022,market_1,type_3,14
25,16,11,6,8,4,11,1/3/2022,market_1,type_5,259
18,6,13,13,14,11,2,3/25/2022,market_1,type_2,344
null,null,null,null,1,null,null,3/1/2022,market_1,type_4,3
14,6,7,4,4,4,4,2/18/2022,market_1,type_5,157
null,3,2,null,4,null,null,3/21/2022,market_1,type_3,26
2,5,0,3,3,1,0,3/31/2022,market_1,type_1,33
13,7,5,3,5,5,7,3/18/2022,market_1,type_5,178
11,3,9,5,7,4,4,2/18/2022,market_1,type_2,263
1,null,null,null,null,null,null,1/12/2022,market_1,type_4,2
8,5,5,1,5,2,2,1/2/2022,market_1,type_2,111
null,null,null,null,null,null,null,1/30/2022,market_1,type_4,
null,1,null,null,null,2,1,3/5/2022,market_1,type_3,19
0,0,1,2,1,1,1,3/4/2022,market_1,type_1,18
1,3,null,2,1,null,3,2/23/2022,market_1,type_3,15
null,null,null,null,null,1,null,1/26/2022,market_1,type_4,1
12,7,4,8,6,5,4,1/7/2022,market_1,type_2,228
1,2,0,0,1,0,3,3/6/2022,market_1,type_1,20
1,1,null,2,1,2,1,3/1/2022,market_1,type_3,25
16,8,10,4,4,3,1,3/27/2022,market_1,type_2,167
1,2,2,null,1,1,null,1/28/2022,market_1,type_3,11
1,null,null,null,null,null,null,3/7/2022,market_1,type_4,6
11,8,5,7,9,8,15,3/2/2022,market_1,type_2,342
3,1,10,10,8,6,7,1/14/2022,market_1,type_2,219
27,10,12,18,13,5,8,1/4/2022,market_1,type_5,207
35,25,13,4,6,20,11,3/23/2022,market_1,type_5,275
1,null,null,null,null,null,null,3/6/2022,market_1,type_3,5
null,null,null,null,1,1,1,2/28/2022,market_1,type_4,6
16,16,8,6,7,2,14,2/21/2022,market_1,type_5,198
2,1,2,1,2,2,1,3/29/2022,market_1,type_1,38
null,null,null,null,null,null,null,3/17/2022,market_1,type_4,3
9,15,5,7,7,5,9,2/21/2022,market_1,type_2,241
2,null,null,1,null,null,null,1/21/2022,market_1,type_4,5
19,9,9,7,8,4,3,2/26/2022,market_1,type_5,180
5,4,4,1,null,null,2,2/28/2022,market_1,type_3,29
7,4,2,2,14,8,3,2/17/2022,market_1,type_2,242
20,5,11,3,10,3,2,2/11/2022,market_1,type_5,173
19,7,7,10,6,9,8,1/18/2022,market_1,type_2,288
2,3,2,0,3,2,0,1/28/2022,market_1,type_1,32
25,16,11,12,7,7,11,2/28/2022,market_1,type_2,433
1,1,4,null,null,null,2,3/8/2022,market_1,type_3,17
31,22,9,14,4,7,1,1/18/2022,market_1,type_5,249
1,1,1,null,1,null,null,3/3/2022,market_1,type_4,2
1,1,null,null,null,null,null,3/25/2022,market_1,type_4,2
6,1,3,0,5,0,4,3/21/2022,market_1,type_1,28
29,14,6,7,21,8,15,3/30/2022,market_1,type_5,242
null,1,null,null,null,null,null,2/14/2022,market_1,type_4,2
14,12,5,6,3,2,6,3/12/2022,market_1,type_5,145
1,1,1,2,1,2,null,2/12/2022,market_1,type_3,9
null,null,null,null,null,null,null,1/1/2022,market_1,type_4,
2,2,2,1,null,null,1,3/7/2022,market_1,type_3,18
12,13,7,8,2,1,5,1/1/2022,market_1,type_5,166
null,null,null,null,null,null,null,2/1/2022,market_1,type_4,1
3,0,1,0,0,1,3,2/1/2022,market_1,type_1,16
1,1,null,1,2,1,1,3/30/2022,market_1,type_3,22
17,16,5,6,12,8,4,2/23/2022,market_1,type_5,189
22,19,15,11,7,3,5,1/17/2022,market_1,type_5,193
11,null,4,2,4,3,1,2/6/2022,market_1,type_5,97
null,null,null,null,null,null,null,2/9/2022,market_1,type_4,2
2,null,1,null,null,null,1,1/15/2022,market_1,type_3,7
3,3,2,null,null,null,1,2/8/2022,market_1,type_3,24
2,3,4,null,null,1,null,2/15/2022,market_1,type_3,16
null,null,null,null,null,null,null,2/15/2022,market_1,type_4,
2,1,1,2,1,0,0,3/8/2022,market_1,type_1,25
9,2,3,2,3,5,1,1/23/2022,market_1,type_5,137
null,null,1,null,1,null,null,2/17/2022,market_1,type_4,3
12,11,7,10,3,4,3,3/20/2022,market_1,type_5,161
null,1,2,null,2,1,null,3/23/2022,market_1,type_3,9
5,1,1,3,0,2,1,1/18/2022,market_1,type_1,31
7,2,1,4,0,0,1,1/21/2022,market_1,type_1,29
1,2,0,1,0,0,0,2/6/2022,market_1,type_1,23
1,1,null,null,null,1,2,1/19/2022,market_1,type_3,18
17,13,14,9,8,7,6,1/28/2022,market_1,type_5,248
2,null,1,null,null,1,null,2/13/2022,market_1,type_3,1
1,1,1,null,null,2,null,1/6/2022,market_1,type_3,11
2,3,null,null,1,null,null,3/20/2022,market_1,type_3,9
6,1,4,2,0,3,4,3/23/2022,market_1,type_1,24
11,10,10,6,14,8,9,2/2/2022,market_1,type_2,296
1,null,1,null,null,null,null,1/4/2022,market_1,type_4,4
0,2,0,3,1,1,1,3/12/2022,market_1,type_1,15
13,8,6,6,14,12,9,3/24/2022,market_1,type_2,320
6,3,2,null,null,null,null,1/29/2022,market_1,type_3,7
3,1,1,0,1,0,3,3/28/2022,market_1,type_1,35
3,1,2,1,2,2,0,3/26/2022,market_1,type_1,48
2,2,1,2,0,0,0,1/26/2022,market_1,type_1,16
2,null,null,null,2,1,2,2/3/2022,market_1,type_3,12
1,1,2,2,null,null,1,2/14/2022,market_1,type_3,21
2,1,null,null,null,null,1,3/29/2022,market_1,type_3,28
14,14,5,2,2,3,5,2/27/2022,market_1,type_5,143
12,9,7,6,10,4,2,3/27/2022,market_1,type_5,158
null,null,1,null,null,null,1,1/28/2022,market_1,type_4,5
10,7,12,5,5,13,8,3/8/2022,market_1,type_2,352
8,12,5,11,6,10,3,1/20/2022,market_1,type_2,254
3,1,1,0,2,4,1,2/5/2022,market_1,type_1,11
3,4,2,1,1,2,null,3/15/2022,market_1,type_3,26
0,2,0,3,0,1,0,3/20/2022,market_1,type_1,24
6,1,0,8,1,2,2,2/7/2022,market_1,type_1,24
12,14,11,11,12,4,2,3/26/2022,market_1,type_2,231
1,2,1,0,0,1,0,3/5/2022,market_1,type_1,31
6,3,2,2,0,2,2,3/25/2022,market_1,type_1,32
39,15,8,5,1,9,8,3/29/2022,market_1,type_2,413
26,18,9,8,17,7,5,1/5/2022,market_1,type_5,210
null,null,1,null,null,1,1,3/4/2022,market_1,type_3,15
30,20,8,4,15,6,1,3/30/2022,market_1,type_2,599
13,8,7,5,2,6,8,1/14/2022,market_1,type_5,250
10,14,12,3,8,5,4,1/19/2022,market_1,type_2,310
16,3,11,8,9,10,2,2/4/2022,market_1,type_2,248
0,3,0,0,3,2,1,3/24/2022,market_1,type_1,34
3,5,3,2,3,1,2,1/1/2022,market_1,type_2,97
5,1,1,0,0,4,4,3/10/2022,market_1,type_1,27
1,null,null,null,2,null,2,3/10/2022,market_1,type_3,10
2,1,2,null,null,1,null,3/26/2022,market_1,type_3,15
13,11,7,3,7,5,9,2/20/2022,market_1,type_5,132
null,1,null,null,null,null,null,2/27/2022,market_1,type_4,5
25,7,4,4,5,4,null,2/8/2022,market_1,type_5,190
2,1,1,2,2,null,null,3/17/2022,market_1,type_3,24
null,null,null,1,2,null,1,1/7/2022,market_1,type_3,13
11,9,8,2,4,4,1,2/13/2022,market_1,type_5,134
7,3,3,3,2,1,2,2/20/2022,market_1,type_2,122
1,null,1,null,null,null,null,3/21/2022,market_1,type_4,5
1,0,0,3,0,1,1,1/24/2022,market_1,type_1,26
null,1,null,1,null,1,1,1/17/2022,market_1,type_4,2
31,6,11,6,5,6,5,3/1/2022,market_1,type_5,242
1,null,4,2,1,1,1,2/25/2022,market_1,type_3,14
1,4,0,0,1,1,1,1/12/2022,market_1,type_1,49
0,0,0,0,0,1,0,2/27/2022,market_1,type_1,17
13,4,2,7,6,3,4,1/13/2022,market_1,type_2,299
3,1,2,1,2,1,1,3/11/2022,market_1,type_3,14
1,2,null,null,null,null,null,3/15/2022,market_1,type_4,4
11,14,7,4,9,4,5,1/31/2022,market_1,type_2,290
1,1,1,3,1,3,0,2/15/2022,market_1,type_1,15
1,null,1,2,1,null,null,1/23/2022,market_1,type_3,5
11,10,16,3,8,4,14,2/7/2022,market_1,type_2,303
5,12,4,6,11,5,2,3/19/2022,market_1,type_2,151
1,null,1,1,null,null,null,1/13/2022,market_1,type_4,4
null,null,null,null,null,null,null,2/24/2022,market_1,type_4,2
14,12,9,8,2,5,7,1/25/2022,market_1,type_2,304
1,1,null,null,null,null,null,3/27/2022,market_1,type_3,5
null,null,null,null,null,1,null,1/22/2022,market_1,type_4,4
1,null,1,1,1,3,1,2/24/2022,market_1,type_3,8
1,3,null,null,1,null,null,2/27/2022,market_1,type_3,7
31,14,7,3,11,1,12,1/19/2022,market_1,type_5,229
13,5,8,3,7,8,6,3/16/2022,market_1,type_5,156
18,5,3,16,4,11,4,3/10/2022,market_1,type_5,199
20,12,16,12,11,5,5,3/11/2022,market_1,type_5,181
16,5,7,6,6,9,11,3/15/2022,market_1,type_2,316
4,2,null,null,1,null,2,3/19/2022,market_1,type_3,18
0,3,1,0,0,0,2,1/31/2022,market_1,type_1,18
20,21,10,11,6,5,11,3/7/2022,market_1,type_5,206
1,null,null,null,1,3,null,3/24/2022,market_1,type_3,11
null,null,null,null,null,null,null,3/10/2022,market_1,type_4,4
2,1,1,0,0,1,0,1/14/2022,market_1,type_1,25
16,18,9,8,4,12,8,1/22/2022,market_1,type_5,235
null,null,null,null,null,null,null,3/18/2022,market_1,type_4,1
27,9,4,4,10,6,7,3/15/2022,market_1,type_5,192
5,1,0,0,1,0,0,1/29/2022,market_1,type_1,23
4,2,3,0,0,0,0,1/8/2022,market_1,type_1,41
null,null,null,null,1,null,null,3/11/2022,market_1,type_4,3
27,12,12,9,2,5,7,3/8/2022,market_1,type_5,182
5,1,3,2,null,null,1,2/20/2022,market_1,type_3,9
1,null,null,null,null,null,null,1/6/2022,market_1,type_4,
null,null,null,null,null,null,null,2/23/2022,market_1,type_4,1
25,12,6,6,16,7,7,1/12/2022,market_1,type_5,288
2,0,0,1,1,0,0,2/3/2022,market_1,type_1,25
12,6,3,4,7,2,4,2/12/2022,market_1,type_2,171
null,null,null,1,null,null,null,3/19/2022,market_1,type_4,
8,11,8,4,10,8,5,2/9/2022,market_1,type_2,254
null,null,null,null,null,null,null,2/13/2022,market_1,type_4,1
24,7,8,9,13,6,19,3/7/2022,market_1,type_2,382
9,5,17,9,14,13,8,1/28/2022,market_1,type_2,227
19,10,8,13,8,5,9,2/14/2022,market_1,type_2,252
null,null,3,1,null,null,null,1/2/2022,market_1,type_3,7
0,1,2,1,1,0,0,2/23/2022,market_1,type_1,24
1,null,null,null,null,null,null,3/14/2022,market_1,type_4,5
null,null,null,null,null,null,null,3/24/2022,market_1,type_4,4
1,2,1,2,null,1,null,1/11/2022,market_1,type_3,14
null,null,null,null,1,null,null,2/3/2022,market_1,type_4,2
3,0,1,1,2,0,1,3/9/2022,market_1,type_1,21
2,null,3,1,1,2,null,2/11/2022,market_1,type_3,24
null,2,1,1,null,null,null,2/5/2022,market_1,type_3,9
1,null,1,null,null,null,null,1/9/2022,market_1,type_3,5
1,3,3,2,null,null,2,2/26/2022,market_1,type_3,13
4,4,2,1,1,2,1,1/13/2022,market_1,type_1,32
1,1,null,null,1,null,null,2/9/2022,market_1,type_3,19
2,1,1,null,null,2,1,2/1/2022,market_1,type_3,15
1,1,null,null,null,null,2,1/16/2022,market_1,type_3,7
null,null,null,null,null,null,null,1/27/2022,market_1,type_4,1
14,5,2,14,3,2,6,1/27/2022,market_1,type_2,237
33,16,13,10,9,6,4,3/24/2022,market_1,type_5,263
null,null,null,null,null,null,null,2/21/2022,market_1,type_4,5
4,2,1,1,2,2,0,3/3/2022,market_1,type_1,32
4,3,1,null,3,null,1,1/13/2022,market_1,type_3,19
19,10,10,6,null,13,10,1/4/2022,market_1,type_2,343
1,0,2,1,1,0,1,2/25/2022,market_1,type_1,18
2,1,2,2,null,1,2,1/31/2022,market_1,type_3,22
null,null,null,2,null,null,2,1/27/2022,market_1,type_3,17
null,null,1,null,null,null,null,2/5/2022,market_1,type_4,
11,4,3,6,2,5,3,2/6/2022,market_1,type_2,120
8,7,9,7,2,3,2,3/13/2022,market_1,type_2,192
21,14,11,8,2,13,14,2/22/2022,market_1,type_2,300
8,1,3,1,2,3,null,1/30/2022,market_1,type_2,94
3,2,null,null,null,null,null,1/17/2022,market_1,type_3,12
1,null,null,1,null,null,null,3/23/2022,market_1,type_4,8
null,null,null,null,null,null,null,1/9/2022,market_1,type_4,2
23,11,9,7,6,6,2,1/13/2022,market_1,type_5,246
null,null,null,null,null,null,null,3/6/2022,market_1,type_4,6
20,20,13,13,8,13,7,3/1/2022,market_1,type_2,366
null,null,1,1,1,1,null,1/18/2022,market_1,type_4,2
1,1,null,4,1,null,1,2/21/2022,market_1,type_3,23
0,2,3,2,2,2,0,3/18/2022,market_1,type_1,18
23,7,11,4,5,3,13,3/14/2022,market_1,type_5,238
28,12,5,11,7,3,8,1/10/2022,market_1,type_5,223
8,11,10,3,3,8,3,3/5/2022,market_1,type_2,178
25,7,9,9,4,3,6,1/24/2022,market_1,type_2,281
35,23,12,7,8,7,4,3/22/2022,market_1,type_5,233
null,null,null,null,null,1,null,3/9/2022,market_1,type_4,1
17,8,14,6,3,null,4,1/2/2022,market_1,type_5,141
null,null,null,null,null,null,1,3/20/2022,market_1,type_4,
7,10,4,8,1,4,2,2/13/2022,market_1,type_2,137
null,null,null,1,null,null,null,2/6/2022,market_1,type_3,4
10,10,12,6,8,5,5,1/22/2022,market_1,type_2,182
2,null,null,null,null,null,null,3/16/2022,market_1,type_4,45
31,10,21,11,11,11,10,3/2/2022,market_1,type_5,196
13,16,15,9,15,5,7,2/2/2022,market_1,type_5,202
1,0,0,1,2,1,0,1/17/2022,market_1,type_1,40
11,5,1,8,4,2,5,1/6/2022,market_1,type_2,242
2,3,1,1,0,0,0,1/9/2022,market_1,type_1,34
6,1,2,1,1,null,1,3/28/2022,market_1,type_3,31
35,18,17,12,9,5,19,3/21/2022,market_1,type_2,465
7,17,7,6,5,2,5,1/24/2022,market_1,type_5,225
17,7,8,6,9,5,2,2/15/2022,market_1,type_2,311
1,0,1,0,2,1,1,3/16/2022,market_1,type_1,40
null,null,1,null,null,null,null,1/16/2022,market_1,type_4,2
4,5,4,1,2,null,1,2/7/2022,market_1,type_3,26
null,1,null,null,null,1,null,3/4/2022,market_1,type_4,5
0,3,1,1,1,0,1,2/9/2022,market_1,type_1,24
11,2,2,16,7,6,11,3/17/2022,market_1,type_2,262
22,16,14,13,4,9,12,1/7/2022,market_1,type_5,214
18,16,15,3,3,3,1,1/8/2022,market_1,type_5,164
3,1,0,0,0,1,0,2/16/2022,market_1,type_1,26
17,8,11,1,5,9,10,1/25/2022,market_1,type_5,176
null,1,null,null,null,null,null,1/3/2022,market_1,type_4,6
31,16,12,12,8,1,10,1/31/2022,market_1,type_5,243
18,8,8,6,9,7,1,2/9/2022,market_1,type_5,199
25,6,2,3,5,11,8,2/15/2022,market_1,type_5,168
0,2,2,0,3,0,2,3/19/2022,market_1,type_1,15
10,11,11,8,8,4,1,3/4/2022,market_1,type_5,174
3,6,0,5,2,4,4,1/3/2022,market_1,type_1,55
null,null,3,1,null,null,null,2/18/2022,market_1,type_3,18
10,4,10,7,4,5,8,2/11/2022,market_1,type_2,197
13,11,4,8,2,6,6,2/3/2022,market_1,type_2,304
2,4,1,null,null,null,null,3/13/2022,market_1,type_3,3
null,null,1,null,null,null,null,2/6/2022,market_1,type_4,1
25,15,9,6,20,16,28,3/23/2022,market_1,type_2,454
11,6,8,6,6,2,3,1/16/2022,market_1,type_5,118
4,0,0,1,2,0,1,2/21/2022,market_1,type_1,18
28,19,19,13,5,9,12,3/28/2022,market_1,type_2,480
null,null,null,null,null,null,1,1/1/2022,market_1,type_3,7
3,4,null,1,1,3,1,1/24/2022,market_1,type_3,22
null,null,null,1,null,null,null,2/4/2022,market_1,type_4,3
25,12,2,6,3,2,2,1/27/2022,market_1,type_5,171
17,16,5,6,14,15,17,3/16/2022,market_1,type_2,378
null,null,null,null,null,null,null,3/22/2022,market_1,type_4,4
2,2,3,3,1,0,3,3/22/2022,market_1,type_1,28
2,2,0,0,0,2,1,2/24/2022,market_1,type_1,13
1,2,3,2,3,0,2,3/30/2022,market_1,type_1,46
16,15,10,5,3,8,8,3/29/2022,market_1,type_5,186
18,7,10,3,9,10,7,1/26/2022,market_1,type_5,182
10,8,9,15,4,5,2,1/15/2022,market_1,type_5,215
1,3,2,1,1,0,0,1/16/2022,market_1,type_1,24
24,16,12,10,null,6,5,2/1/2022,market_1,type_5,233
1,1,3,2,5,1,0,3/11/2022,market_1,type_1,20
null,null,null,null,null,null,null,1/23/2022,market_1,type_4,1
null,null,null,null,null,null,null,1/10/2022,market_1,type_4,1
11,7,11,12,10,5,14,3/4/2022,market_1,type_2,279
null,null,null,null,null,null,null,3/29/2022,market_1,type_4,3
1,1,1,1,0,0,1,2/17/2022,market_1,type_1,15
